date_played,home_team,away_team,home_score,away_score,city,country,Result
9/24/1922,Norway,Sweden,0,5,Kristiania,Norway,Sweden
9/28/1922,Argentina,Chile,4,0,Rio de Janeiro,Brazil,Argentina
10/1/1922,Brazil,Uruguay,0,0,Rio de Janeiro,Brazil,drawn
10/1/1922,Denmark,Sweden,1,2,Copenhagen,Denmark,Sweden
10/1/1922,Yugoslavia,Poland,1,3,Zagreb,Yugoslavia,Poland
10/5/1922,Chile,Paraguay,0,3,Rio de Janeiro,Brazil,Paraguay
10/8/1922,Argentina,Uruguay,0,1,Rio de Janeiro,Brazil,Uruguay
10/12/1922,Paraguay,Uruguay,1,0,Rio de Janeiro,Brazil,Paraguay
10/15/1922,Brazil,Argentina,2,0,Rio de Janeiro,Brazil,Brazil
10/18/1922,Argentina,Paraguay,2,0,Rio de Janeiro,Brazil,Argentina
10/21/1922,England,Northern Ireland,2,0,West Bromwich,England,England
10/22/1922,Argentina,Chile,1,0,Buenos Aires,Argentina,Argentina
10/22/1922,Brazil,Paraguay,3,0,Rio de Janeiro,Brazil,Brazil
10/22/1922,Brazil,Argentina,2,1,São Paulo,Brazil,Brazil
10/29/1922,Brazil,Paraguay,3,1,São Paulo,Brazil,Brazil
11/12/1922,Uruguay,Argentina,1,0,Montevideo,Uruguay,Uruguay
11/19/1922,Switzerland,Netherlands,5,0,Berne,Switzerland,Switzerland
11/19/1922,Galicia,Central Spain,4,1,Vigo,Spain,Galicia
11/26/1922,Hungary,Austria,1,2,Budapest,Hungary,Austria
12/3/1922,Italy,Switzerland,2,2,Bologna,Italy,drawn
12/10/1922,Uruguay,Argentina,1,0,Montevideo,Uruguay,Uruguay
12/17/1922,Argentina,Uruguay,2,2,Buenos Aires,Argentina,drawn
12/17/1922,Portugal,Spain,1,2,Lisbon,Portugal,Spain
1/1/1923,Guatemala,Mexico,2,3,Guatemala,Guatemala,Mexico
1/1/1923,Italy,Germany,3,1,Milan,Italy,Italy
1/4/1923,Guatemala,Mexico,3,1,Guatemala,Guatemala,Guatemala
1/7/1923,Guatemala,Mexico,1,4,Guatemala,Guatemala,Mexico
1/14/1923,Andalusia,Galicia,1,4,Seville,Spain,Galicia
1/21/1923,Switzerland,Austria,2,0,Geneva,Switzerland,Switzerland
1/28/1923,Spain,France,3,0,San Sebastián,Spain,Spain
2/4/1923,Belgium,Spain,1,0,Antwerp,Belgium,Belgium
2/11/1923,Luxembourg,Brittany,1,4,Esch-sur-Alzette,Luxembourg,Brittany
2/25/1923,Belgium,France,4,1,Forest,Belgium,Belgium
2/25/1923,Galicia,Asturias,1,3,Vigo,Spain,Asturias
3/3/1923,Northern Ireland,Scotland,0,1,Belfast,Northern Ireland,Scotland
3/4/1923,Italy,Hungary,0,0,Genoa,Italy,drawn
3/5/1923,Wales,England,2,2,Cardiff,Wales,drawn
3/11/1923,Switzerland,Hungary,1,6,Lausanne,Switzerland,Hungary
3/17/1923,Scotland,Wales,2,0,Paisley,Scotland,Scotland
3/19/1923,England,Belgium,6,1,London,England,England
4/2/1923,Netherlands,France,8,1,Amsterdam,Netherlands,Netherlands
4/14/1923,Scotland,England,2,2,Glasgow,Scotland,drawn
4/14/1923,Wales,Northern Ireland,0,3,Wrexham,Wales,Northern Ireland
4/15/1923,Austria,Italy,0,0,Vienna,Austria,drawn
4/22/1923,France,Switzerland,2,2,Vincennes,France,drawn
4/29/1923,Netherlands,Belgium,1,1,Amsterdam,Netherlands,drawn
5/6/1923,Austria,Hungary,1,0,Vienna,Austria,Austria
5/6/1923,Czechoslovakia,Denmark,2,0,Prague,Czechoslovakia,Czechoslovakia
5/10/1923,France,England,1,4,Vincennes,France,England
5/10/1923,Germany,Netherlands,0,0,Hamburg,Germany,drawn
5/20/1923,Argentina,Paraguay,0,2,Buenos Aires,Argentina,Paraguay
5/21/1923,Sweden,England,2,4,Stockholm,Sweden,England
5/22/1923,China PR,Philippines,3,0,Osaka,Japan,China PR
5/24/1923,Japan,China PR,1,5,Osaka,Japan,China PR
5/24/1923,Sweden,England,1,3,Solna,Sweden,England
5/25/1923,Argentina,Paraguay,1,0,Buenos Aires,Argentina,Argentina
5/27/1923,Czechoslovakia,Italy,5,1,Prague,Czechoslovakia,Czechoslovakia
6/3/1923,Poland,Yugoslavia,1,2,Cracow,Poland,Yugoslavia
6/3/1923,Switzerland,Germany,1,2,Basel,Switzerland,Germany
6/9/1923,Australia,New Zealand,2,1,Brisbane,Australia,Australia
6/10/1923,Romania,Yugoslavia,1,2,Bucharest,Romania,Yugoslavia
6/10/1923,Sweden,Austria,4,2,Gothenburg,Sweden,Sweden
6/16/1923,Australia,New Zealand,2,3,Sydney,Australia,New Zealand
6/17/1923,Denmark,Switzerland,3,2,Copenhagen,Denmark,Denmark
6/17/1923,Norway,Finland,3,0,Kristiania,Norway,Norway
6/20/1923,Sweden,Finland,5,4,Gävle,Sweden,Sweden
6/21/1923,Norway,Switzerland,2,2,Kristiania,Norway,drawn
6/24/1923,Argentina,Uruguay,0,0,Buenos Aires,Argentina,drawn
6/24/1923,Lithuania,Estonia,0,5,Kaunas,Lithuania,Estonia
6/29/1923,Sweden,Germany,2,1,Stockholm,Sweden,Sweden
6/30/1923,Australia,New Zealand,1,4,Newcastle,Australia,New Zealand
7/1/1923,Romania,Czechoslovakia,0,6,Cluj,Romania,Czechoslovakia
7/15/1923,Argentina,Uruguay,2,2,Buenos Aires,Argentina,drawn
7/22/1923,Uruguay,Argentina,2,2,Montevideo,Uruguay,drawn
7/24/1923,Estonia,Latvia,1,1,Tallinn,Estonia,drawn
8/12/1923,Germany,Finland,1,2,Dresden,Germany,Finland
8/15/1923,Austria,Finland,2,1,Vienna,Austria,Austria
8/19/1923,Hungary,Finland,3,1,Budapest,Hungary,Hungary
9/2/1923,Poland,Romania,1,1,Lwów,Poland,drawn
9/16/1923,Norway,Sweden,2,3,Kristiania,Norway,Sweden
9/18/1923,Estonia,Russia,2,4,Tallinn,Estonia,Russia
9/23/1923,Finland,Poland,5,3,Helsinki,Finland,Finland
9/23/1923,Hungary,Austria,2,0,Budapest,Hungary,Hungary
9/25/1923,Estonia,Poland,1,4,Tallinn,Estonia,Poland
9/30/1923,Denmark,Norway,2,1,Copenhagen,Denmark,Denmark
9/30/1923,Estonia,Finland,2,1,Tallinn,Estonia,Estonia
9/30/1923,Uruguay,Argentina,0,2,Montevideo,Uruguay,Argentina
10/14/1923,Sweden,Denmark,1,3,Stockholm,Sweden,Denmark
10/20/1923,Northern Ireland,England,2,1,Belfast,Northern Ireland,Northern Ireland
10/26/1923,Turkey,Romania,2,2,Istanbul,Turkey,drawn
10/28/1923,Czechoslovakia,Yugoslavia,4,4,Prague,Czechoslovakia,drawn
10/28/1923,France,Norway,0,2,Paris,France,Norway
10/28/1923,Hungary,Sweden,2,1,Budapest,Hungary,Hungary
10/29/1923,Argentina,Paraguay,4,3,Montevideo,Uruguay,Argentina
11/1/1923,Belgium,England,2,2,Antwerp,Belgium,drawn
11/1/1923,Poland,Sweden,2,2,Cracow,Poland,drawn
11/1/1923,Brittany,Norway,1,5,Rennes,France,Norway
11/4/1923,Germany,Norway,1,0,Hamburg,Germany,Germany
11/4/1923,Uruguay,Paraguay,2,0,Montevideo,Uruguay,Uruguay
11/11/1923,Brazil,Paraguay,0,1,Montevideo,Uruguay,Paraguay
11/18/1923,Argentina,Brazil,2,1,Montevideo,Uruguay,Argentina
11/22/1923,Brazil,Paraguay,2,0,Montevideo,Uruguay,Brazil
11/25/1923,Netherlands,Switzerland,4,1,Amsterdam,Netherlands,Netherlands
11/25/1923,Uruguay,Brazil,2,1,Montevideo,Uruguay,Uruguay
11/25/1923,Central Spain,Galicia,1,0,Madrid,Spain,Central Spain
12/2/1923,Argentina,Brazil,0,2,Buenos Aires,Argentina,Brazil
12/2/1923,Uruguay,Argentina,2,0,Montevideo,Uruguay,Uruguay
12/3/1923,Argentina,Chile,6,0,Buenos Aires,Argentina,Argentina
12/9/1923,Argentina,Brazil,2,0,Buenos Aires,Argentina,Argentina
12/9/1923,Mexico,Guatemala,2,1,Mexico City,Mexico,Mexico
12/12/1923,Mexico,Guatemala,2,0,Mexico City,Mexico,Mexico
12/16/1923,Mexico,Guatemala,3,3,Mexico City,Mexico,drawn
12/16/1923,Spain,Portugal,3,0,Seville,Spain,Spain
1/13/1924,France,Belgium,2,0,Montrouge,France,France
1/13/1924,Germany,Austria,4,3,Nuremberg,Germany,Germany
1/20/1924,Italy,Austria,0,4,Genoa,Italy,Austria
2/10/1924,Yugoslavia,Austria,1,4,Zagreb,Yugoslavia,Austria
2/16/1924,Wales,Scotland,2,0,Cardiff,Wales,Wales
3/1/1924,Scotland,Northern Ireland,2,0,Glasgow,Scotland,Scotland
3/3/1924,England,Wales,1,2,Blackburn,England,Wales
3/9/1924,Italy,Spain,0,0,Milan,Italy,drawn
3/13/1924,Catalonia,Spain,0,7,Barcelona,Spain,Spain
3/15/1924,Northern Ireland,Wales,0,1,Belfast,Northern Ireland,Wales
3/23/1924,Netherlands,Belgium,1,1,Amsterdam,Netherlands,drawn
3/23/1924,Switzerland,France,3,0,Geneva,Switzerland,Switzerland
3/23/1924,Brittany,Luxembourg,1,1,Rennes,France,drawn
4/6/1924,Aruba,Curaçao,0,4,Oranjestad,Aruba,Curaçao
4/6/1924,Hungary,Italy,7,1,Budapest,Hungary,Hungary
4/12/1924,England,Scotland,1,1,London,England,drawn
4/21/1924,Netherlands,Germany,0,1,Amsterdam,Netherlands,Germany
4/21/1924,Switzerland,Denmark,2,0,Basel,Switzerland,Switzerland
4/27/1924,Belgium,Netherlands,1,1,Antwerp,Belgium,drawn
5/4/1924,Hungary,Austria,2,2,Budapest,Hungary,drawn
5/15/1924,Paraguay,Argentina,1,3,Asunción,Paraguay,Argentina
5/17/1924,France,England,1,3,Vincennes,France,England
5/18/1924,Paraguay,Argentina,2,1,Asunción,Paraguay,Paraguay
5/18/1924,Sweden,Poland,5,1,Stockholm,Sweden,Sweden
5/18/1924,Switzerland,Hungary,4,2,Zürich,Switzerland,Switzerland
5/20/1924,Austria,Romania,4,1,Vienna,Austria,Austria
5/21/1924,Austria,Bulgaria,6,0,Vienna,Austria,Austria
5/25/1924,Argentina,Uruguay,4,0,Buenos Aires,Argentina,Argentina
5/25/1924,Uruguay,Argentina,2,0,Montevideo,Uruguay,Uruguay
5/27/1924,Egypt,Lithuania,10,0,Vincennes,France,Egypt
6/4/1924,France,Hungary,0,1,Le Havre,France,Hungary
6/7/1924,Australia,Canada,3,2,Brisbane,Australia,Australia
6/10/1924,Poland,United States,2,3,Warsaw,Poland,United States
6/14/1924,Australia,Canada,0,1,Sydney,Australia,Canada
6/15/1924,Denmark,Sweden,2,3,Copenhagen,Denmark,Sweden
6/15/1924,Norway,Germany,0,2,Kristiania,Norway,Germany
6/15/1924,Catalonia,Basque Country,1,2,Barcelona,Spain,Basque Country
6/17/1924,Finland,Turkey,2,4,Helsinki,Finland,Turkey
6/19/1924,Estonia,Turkey,1,4,Tallinn,Estonia,Turkey
6/22/1924,Austria,Egypt,3,1,Vienna,Austria,Austria
6/22/1924,Latvia,Turkey,1,3,Riga,Latvia,Turkey
6/23/1924,Australia,Canada,4,1,Sydney,Australia,Australia
6/28/1924,Australia,Canada,0,0,Newcastle,Australia,drawn
6/29/1924,Poland,Turkey,2,0,Łódź,Poland,Poland
6/29/1924,Sweden,Egypt,5,0,Stockholm,Sweden,Sweden
7/12/1924,Australia,Canada,1,4,Adelaide,Australia,Canada
7/25/1924,Sweden,Estonia,5,2,Stockholm,Sweden,Sweden
7/26/1924,Australia,Canada,1,0,Sydney,Australia,Australia
7/28/1924,Finland,Sweden,5,7,Helsinki,Finland,Sweden
8/10/1924,Poland,Finland,1,0,Warsaw,Poland,Poland
8/14/1924,Latvia,Finland,0,2,Riga,Latvia,Finland
8/23/1924,Finland,Norway,2,0,Helsinki,Finland,Finland
8/24/1924,Estonia,Lithuania,1,2,Tallinn,Estonia,Lithuania
8/31/1924,Czechoslovakia,Romania,4,1,Prague,Czechoslovakia,Czechoslovakia
8/31/1924,Germany,Sweden,1,4,Berlin,Germany,Sweden
8/31/1924,Hungary,Poland,4,0,Budapest,Hungary,Hungary
9/14/1924,Austria,Hungary,2,1,Vienna,Austria,Austria
9/14/1924,Finland,Estonia,4,0,Helsinki,Finland,Finland
9/14/1924,Norway,Denmark,1,3,Kristiania,Norway,Denmark
9/21/1924,Hungary,Germany,4,1,Budapest,Hungary,Hungary
9/21/1924,Sweden,Norway,6,1,Solna,Sweden,Sweden
9/21/1924,Uruguay,Argentina,1,1,Montevideo,Uruguay,drawn
9/24/1924,Northern Ireland,South Africa,1,2,Belfast,Northern Ireland,South Africa
9/28/1924,Yugoslavia,Czechoslovakia,0,2,Zagreb,Yugoslavia,Czechoslovakia
10/2/1924,Argentina,Uruguay,2,1,Buenos Aires,Argentina,Argentina
10/5/1924,Denmark,Belgium,2,1,Copenhagen,Denmark,Denmark
10/12/1924,Argentina,Paraguay,0,0,Montevideo,Uruguay,drawn
10/18/1924,Latvia,Estonia,2,0,Riga,Latvia,Latvia
10/19/1924,Uruguay,Chile,5,0,Montevideo,Uruguay,Uruguay
10/22/1924,England,Northern Ireland,3,1,Liverpool,England,England
10/25/1924,Argentina,Chile,2,0,Montevideo,Uruguay,Argentina
10/26/1924,Uruguay,Paraguay,3,1,Montevideo,Uruguay,Uruguay
11/1/1924,Chile,Paraguay,1,3,Montevideo,Uruguay,Paraguay
11/2/1924,Netherlands,South Africa,2,1,Amsterdam,Netherlands,Netherlands
11/2/1924,Uruguay,Argentina,0,0,Montevideo,Uruguay,drawn
11/9/1924,Austria,Sweden,1,1,Vienna,Austria,drawn
11/11/1924,Belgium,France,3,0,Brussels,Belgium,Belgium
11/16/1924,Italy,Sweden,2,2,Milan,Italy,drawn
11/16/1924,Russia,Turkey,3,0,Moscow,Soviet Union,Russia
11/23/1924,Germany,Italy,0,1,Duisburg,Germany,Italy
12/8/1924,England,Belgium,4,0,West Bromwich,England,England
12/14/1924,Germany,Switzerland,1,1,Stuttgart,Germany,drawn
12/21/1924,Spain,Austria,2,1,Barcelona,Spain,Spain
2/14/1925,Scotland,Wales,3,1,Edinburgh,Scotland,Scotland
2/22/1925,Luxembourg,Brittany,1,1,Luxembourg,Luxembourg,drawn
2/28/1925,Northern Ireland,Scotland,0,3,Belfast,Northern Ireland,Scotland
2/28/1925,Wales,England,1,2,Swansea,Wales,England
3/15/1925,Belgium,Netherlands,0,1,Antwerp,Belgium,Netherlands
3/22/1925,Austria,Switzerland,2,0,Vienna,Austria,Austria
3/22/1925,Haiti,Jamaica,1,2,Port-au-Prince,Haiti,Jamaica
3/22/1925,Italy,France,7,0,Turin,Italy,Italy
3/25/1925,Hungary,Switzerland,5,0,Budapest,Hungary,Hungary
3/26/1925,Haiti,Jamaica,0,3,Port-au-Prince,Haiti,Jamaica
3/29/1925,Haiti,Jamaica,0,1,Port-au-Prince,Haiti,Jamaica
3/29/1925,Netherlands,Germany,2,1,Amsterdam,Netherlands,Netherlands
4/4/1925,Scotland,England,2,0,Glasgow,Scotland,Scotland
4/10/1925,Turkey,Bulgaria,2,1,Istanbul,Turkey,Turkey
4/18/1925,Wales,Northern Ireland,0,0,Wrexham,Wales,drawn
4/19/1925,France,Austria,0,4,Vincennes,France,Austria
4/19/1925,Switzerland,Netherlands,4,1,Zürich,Switzerland,Switzerland
5/1/1925,Romania,Turkey,1,2,Bucharest,Romania,Turkey
5/3/1925,Netherlands,Belgium,5,0,Amsterdam,Netherlands,Netherlands
5/5/1925,Austria,Hungary,3,1,Vienna,Austria,Austria
5/15/1925,Turkey,Russia,1,2,Ankara,Turkey,Russia
5/20/1925,China PR,Japan,2,0,Manila,Philippines,China PR
5/21/1925,France,England,2,3,Colombes,France,England
5/21/1925,Hungary,Belgium,1,3,Budapest,Hungary,Belgium
5/22/1925,Philippines,China PR,1,5,Manila,Philippines,China PR
5/24/1925,Czechoslovakia,Austria,3,1,Prague,Czechoslovakia,Czechoslovakia
5/24/1925,Switzerland,Belgium,0,0,Lausanne,Switzerland,drawn
5/31/1925,Bulgaria,Romania,2,4,Sofia,Bulgaria,Romania
6/1/1925,Switzerland,Spain,0,3,Berne,Switzerland,Spain
6/7/1925,Norway,Finland,1,0,Oslo,Norway,Norway
6/9/1925,Sweden,Finland,4,0,Gothenburg,Sweden,Sweden
6/14/1925,Spain,Italy,1,0,Valencia,Spain,Spain
6/14/1925,Sweden,Denmark,0,2,Stockholm,Sweden,Denmark
6/18/1925,Portugal,Italy,1,0,Lisbon,Portugal,Portugal
6/21/1925,Denmark,Norway,5,1,Copenhagen,Denmark,Denmark
6/21/1925,Sweden,Germany,1,0,Stockholm,Sweden,Sweden
6/26/1925,Finland,Germany,3,5,Helsinki,Finland,Germany
6/27/1925,Canada,United States,1,0,Montréal,Canada,Canada
6/28/1925,Lithuania,Estonia,0,1,Kaunas,Lithuania,Estonia
7/5/1925,Estonia,Finland,2,0,Tallinn,Estonia,Estonia
7/5/1925,Sweden,Austria,2,4,Stockholm,Sweden,Austria
7/9/1925,Argentina,Paraguay,1,1,Buenos Aires,Argentina,drawn
7/10/1925,Finland,Austria,1,2,Helsinki,Finland,Austria
7/12/1925,Argentina,Paraguay,1,1,Buenos Aires,Argentina,drawn
7/12/1925,Sweden,Hungary,6,2,Stockholm,Sweden,Sweden
7/14/1925,Uruguay,Paraguay,0,1,Montevideo,Uruguay,Paraguay
7/18/1925,Uruguay,Paraguay,0,1,Montevideo,Uruguay,Paraguay
7/19/1925,Poland,Hungary,0,2,Cracow,Poland,Hungary
8/9/1925,Finland,Latvia,3,1,Helsinki,Finland,Finland
8/15/1925,Paraguay,Uruguay,1,0,Asunción,Paraguay,Paraguay
8/19/1925,Paraguay,Uruguay,0,1,Asunción,Paraguay,Uruguay
8/23/1925,Norway,Sweden,3,7,Oslo,Norway,Sweden
8/23/1925,Paraguay,Uruguay,0,0,Asunción,Paraguay,drawn
8/26/1925,Estonia,Latvia,2,2,Tallinn,Estonia,drawn
8/30/1925,Finland,Poland,2,2,Helsinki,Finland,drawn
9/20/1925,Hungary,Austria,1,1,Budapest,Hungary,drawn
9/20/1925,Latvia,Lithuania,2,2,Riga,Latvia,drawn
9/27/1925,Austria,Spain,0,1,Vienna,Austria,Spain
9/27/1925,Denmark,Finland,3,3,Århus,Denmark,drawn
10/2/1925,Turkey,Poland,1,2,Istanbul,Turkey,Poland
10/4/1925,Hungary,Spain,0,1,Budapest,Hungary,Spain
10/11/1925,Czechoslovakia,Hungary,2,0,Prague,Czechoslovakia,Czechoslovakia
10/24/1925,Northern Ireland,England,0,0,Belfast,Northern Ireland,drawn
10/25/1925,Netherlands,Denmark,4,2,Amsterdam,Netherlands,Netherlands
10/25/1925,Switzerland,Germany,0,4,Basel,Switzerland,Germany
10/28/1925,Czechoslovakia,Yugoslavia,7,0,Prague,Czechoslovakia,Czechoslovakia
10/31/1925,Wales,Scotland,0,3,Cardiff,Wales,Scotland
11/1/1925,Poland,Sweden,2,6,Cracow,Poland,Sweden
11/4/1925,Italy,Yugoslavia,2,1,Padua,Italy,Italy
11/8/1925,Hungary,Italy,1,1,Budapest,Hungary,drawn
11/8/1925,Switzerland,Austria,2,0,Berne,Switzerland,Switzerland
11/8/1925,United States,Canada,6,1,New York,United States,United States
11/29/1925,Argentina,Paraguay,2,0,Buenos Aires,Argentina,Argentina
12/6/1925,Brazil,Paraguay,5,2,Buenos Aires,Argentina,Brazil
12/13/1925,Argentina,Brazil,4,1,Buenos Aires,Argentina,Argentina
12/13/1925,Belgium,Austria,3,4,Liège,Belgium,Austria
12/13/1925,Catalonia,Czechoslovakia,2,1,Barcelona,Spain,Catalonia
12/17/1925,Brazil,Paraguay,3,1,Buenos Aires,Argentina,Brazil
12/20/1925,Argentina,Paraguay,3,1,Buenos Aires,Argentina,Argentina
12/25/1925,Argentina,Brazil,2,2,Buenos Aires,Argentina,drawn
1/17/1926,Italy,Czechoslovakia,3,1,Turin,Italy,Italy
1/24/1926,Haiti,Curaçao,1,1,Port-au-Prince,Haiti,drawn
1/31/1926,Haiti,Curaçao,0,1,Port-au-Prince,Haiti,Curaçao
2/7/1926,Haiti,Curaçao,2,1,Port-au-Prince,Haiti,Haiti
2/13/1926,Northern Ireland,Wales,3,0,Belfast,Northern Ireland,Northern Ireland
2/14/1926,Belgium,Hungary,0,2,Brussels,Belgium,Hungary
2/14/1926,Haiti,Curaçao,2,2,Port-au-Prince,Haiti,drawn
2/27/1926,Scotland,Northern Ireland,4,0,Glasgow,Scotland,Scotland
3/1/1926,England,Wales,1,3,London,England,Wales
3/3/1926,Jamaica,Curaçao,2,0,Kingston,Jamaica,Jamaica
3/14/1926,Austria,Czechoslovakia,2,0,Vienna,Austria,Austria
3/14/1926,Belgium,Netherlands,1,1,Antwerp,Belgium,drawn
3/21/1926,Italy,Republic of Ireland,3,0,Turin,Italy,Italy
3/28/1926,Netherlands,Switzerland,5,0,Amsterdam,Netherlands,Netherlands
4/11/1926,France,Belgium,4,3,Vincennes,France,France
4/17/1926,England,Scotland,0,1,Manchester,England,Scotland
4/18/1926,France,Portugal,4,2,Toulouse,France,France
4/18/1926,Germany,Netherlands,4,2,Düsseldorf,Germany,Germany
4/18/1926,Switzerland,Italy,1,1,Zürich,Switzerland,drawn
4/25/1926,France,Switzerland,1,0,Colombes,France,France
4/25/1926,Romania,Bulgaria,6,1,Bucharest,Romania,Romania
5/1/1926,Kenya,Uganda,1,1,Nairobi,Kenya,drawn
5/2/1926,Hungary,Austria,0,3,Budapest,Hungary,Austria
5/2/1926,Netherlands,Belgium,1,5,Amsterdam,Netherlands,Belgium
5/3/1926,Kenya,Uganda,2,1,Nairobi,Kenya,Kenya
5/7/1926,Turkey,Romania,1,3,Istanbul,Turkey,Romania
5/9/1926,Italy,Switzerland,3,2,Milan,Italy,Italy
5/24/1926,Belgium,England,3,5,Antwerp,Belgium,England
5/29/1926,Argentina,Paraguay,2,1,Buenos Aires,Argentina,Argentina
5/30/1926,Austria,France,4,1,Vienna,Austria,Austria
5/30/1926,Yugoslavia,Bulgaria,3,1,Zagreb,Yugoslavia,Yugoslavia
6/3/1926,Argentina,Paraguay,2,1,Buenos Aires,Argentina,Argentina
6/6/1926,Finland,Norway,2,5,Helsinki,Finland,Norway
6/6/1926,Hungary,Czechoslovakia,2,1,Budapest,Hungary,Hungary
6/9/1926,Sweden,Norway,3,2,Stockholm,Sweden,Sweden
6/13/1926,Denmark,Netherlands,4,1,Copenhagen,Denmark,Denmark
6/13/1926,Estonia,Lithuania,3,1,Tallinn,Estonia,Estonia
6/13/1926,France,Yugoslavia,4,1,Colombes,France,France
6/13/1926,Sweden,Czechoslovakia,2,2,Stockholm,Sweden,drawn
6/20/1926,Belgium,France,2,2,Brussels,Belgium,drawn
6/20/1926,Finland,Denmark,3,2,Helsinki,Finland,Finland
6/20/1926,Germany,Sweden,3,3,Nuremberg,Germany,drawn
6/28/1926,Yugoslavia,Czechoslovakia,2,6,Zagreb,Yugoslavia,Czechoslovakia
7/3/1926,Czechoslovakia,Sweden,4,2,Prague,Czechoslovakia,Czechoslovakia
7/4/1926,Poland,Estonia,2,0,Warsaw,Poland,Poland
7/7/1926,Czechoslovakia,Catalonia,2,1,Prague,Czech Republic,Czechoslovakia
7/18/1926,Sweden,Italy,5,3,Stockholm,Sweden,Sweden
7/20/1926,Latvia,Sweden,4,1,Riga,Latvia,Latvia
7/23/1926,Estonia,Sweden,1,7,Tallinn,Estonia,Sweden
7/26/1926,Finland,Sweden,2,3,Helsinki,Finland,Sweden
8/8/1926,Poland,Finland,7,1,Poznań,Poland,Poland
8/12/1926,Latvia,Finland,1,4,Riga,Latvia,Finland
8/20/1926,Hungary,Poland,4,1,Budapest,Hungary,Hungary
8/21/1926,Lithuania,Latvia,2,3,Kaunas,Lithuania,Latvia
9/5/1926,Finland,Estonia,1,1,Helsinki,Finland,drawn
9/12/1926,Poland,Turkey,6,1,Lwów,Poland,Poland
9/19/1926,Austria,Hungary,2,3,Vienna,Austria,Hungary
9/19/1926,Latvia,Estonia,0,1,Riga,Latvia,Estonia
9/19/1926,Norway,Denmark,2,2,Oslo,Norway,drawn
9/28/1926,Czechoslovakia,Austria,1,2,Prague,Czechoslovakia,Austria
10/3/1926,Denmark,Sweden,2,0,Copenhagen,Denmark,Denmark
10/3/1926,Sweden,Poland,3,1,Stockholm,Sweden,Sweden
10/3/1926,Yugoslavia,Romania,2,3,Zagreb,Yugoslavia,Romania
10/10/1926,Austria,Switzerland,7,1,Vienna,Austria,Austria
